id;account_owner;account_number;meter_number;jhi_key;password
1;CUSTOMERACCOUNT;69840;bus Pants;Fresh definition;invoice SQL tan
2;OWNACCOUNT;87008;Directives;New Jersey Table monetize;flexibility
3;OWNACCOUNT;95964;bandwidth leading-edge;Security;Euro
4;OWNACCOUNT;32871;Corporate rich;Trace Berkshire;Human
5;OWNACCOUNT;90596;Internal mobile;multi-byte;Practical SMTP mint green
6;CUSTOMERACCOUNT;38395;synthesizing;Regional withdrawal;User-centric Licensed Metal Sa
7;OWNACCOUNT;99749;integrated purple Tools;Analyst enable navigate;uniform
8;CUSTOMERACCOUNT;67087;innovate neural Guyana Dollar;Associate Virginia Som;orange Computers
9;CUSTOMERACCOUNT;99898;ROI orchid;dot-com systems withdrawal;frictionless Buckinghamshire
10;CUSTOMERACCOUNT;10258;backing up;Optimization holistic;Games Investment Account eyeba
