id;address_1;address_2;name;phone;email_acc_id;default_address
1;contingency;Virginia Rand input;Personal;1-960-616-0996;Metal Supervisor;false
2;Health Games;Hat;Analyst GB Architect;345-848-9062;South grid-enabled;false
3;Borders;Producer;Multi-channelled Jersey Indonesia;1-795-905-6519 x228;parse;false
4;Incredible invoice;Branding;Practical wireless;221-354-2819 x857;discrete GB Barbados;false
5;embrace Licensed;solutions Soft;Implemented Concrete;(960) 284-7071 x7156;Business-focused;false
6;groupware complexity;Account;high-level program;279-515-2957 x35477;auxiliary asynchronous Kids;true
7;Shoes;Uzbekistan tangible;Tasty Games;(883) 237-6264 x472;SMTP Account Massachusetts;false
8;green;Bedfordshire;instruction connect Plastic;908-233-9926 x08210;Business-focused Soft Customer;true
9;invoice;tertiary Neck Sports;leading-edge;842.414.2178 x366;withdrawal;true
10;Practical Horizontal;Investment Gorgeous deposit;Manager;413-461-4465 x535;Paradigm Keyboard;false
